INCIDENT_DATE,REG,FLT,OPID,AIRPORT_ID
2015-02-07 07:50:00,N426QX,2263,QXE,KSEA
2015-02-07 12:07:00,N180UA,903,UAL,KSFO
2015-02-07 12:50:00,N8609A,3417,SWA,KPHX
2015-02-07 13:00:00,,,BOE,KPAE
2015-02-07 17:15:00,N362SW,3467,SWA,KMCO
2015-02-08 00:00:00,,,,KMKE
2015-02-08 00:00:00,,,,KDEN
2015-02-08 00:00:00,,,,KDFW
2015-02-08 00:00:00,,,,KPIA
2015-02-08 00:00:00,,,,KHSV
2015-02-08 08:53:00,,6424,SKW,KDEN
2015-02-08 09:25:00,N582HA,19,HAL,KSMF
2015-02-08 12:10:00,N924EV,5041,ASQ,KABE
2015-02-08 13:32:00,N402NV,151,AAY,KIWA
2015-02-08 15:17:00,N86316,3767-5114,ASH,KAUS
2015-02-08 16:41:00,N122HQ,4637,RPA,KJAX
2015-02-08 17:15:00,N892NN,2395,AAL,KLGA
2015-02-08 20:09:00,N9402W,87,AAL,KORD
2015-02-08 23:59:00,N848VA,29,VRD,KSFO
2015-02-09 00:00:00,,,,KJAX
2015-02-09 00:00:00,,,,KMEM
2015-02-09 00:00:00,,,,KABE
2015-02-09 06:20:00,B-18720,,CAL,KJFK
2015-02-09 06:54:00,,2363,AAL,KDFW
2015-02-09 07:00:00,N845UR,,BUS,KOMA
2015-02-09 07:20:00,N77261,1573,UAL,KAUS
2015-02-09 08:15:00,N868CA,2582,SKW,KLAX
2015-02-09 08:19:00,,2612,DAL,KDTW
2015-02-09 09:35:00,,1192,UAL,KIAH
2015-02-09 11:48:00,N771EA,32,BUS,TJMZ
2015-02-09 12:00:00,N832HK,9510,LOF,KIND
2015-02-09 18:45:00,,778,SWA,KSAT
2015-02-10 00:00:00,,,,PHOG
2015-02-10 00:00:00,,,,KATL
2015-02-10 05:25:00,,2067 OR 70,AWE,KMCO
2015-02-10 07:45:00,N902AN,1674,AAL,KMIA
2015-02-10 08:03:00,,516P,SKW,KSFO
2015-02-10 09:25:00,N695A,,BUS,KTKI
2015-02-10 09:30:00,N298GB,,BUS,
2015-02-10 11:30:00,,,MIL,KICT
2015-02-10 12:55:00,N763AS,64,ASA,PAJN
2015-02-10 14:10:00,N513AA,1030,AAL,KJAX
2015-02-10 15:53:00,N480HA,334,HAL,PHNL
2015-02-10 17:49:00,,6217,SKW,KDEN
2015-02-10 18:04:00,N933EV,4885,ASQ,KDTW
2015-02-10 19:00:00,N166CB,,BUS,PGWT
2015-02-10 20:35:00,,,MIL,KVUJ
2015-02-11 00:00:00,N182EH,,BUS,
2015-02-11 00:00:00,,,,KJFK
2015-02-11 00:00:00,,,,KPAE
2015-02-11 00:25:00,N365FE,1229,FDX,KMEM
2015-02-11 09:40:00,N7706A,12,SWA,KDAL
2015-02-11 10:26:00,N553PU,,BUS,KVRB
2015-02-11 11:00:00,,,MIL,KHST
2015-02-11 12:00:00,N956WN,1543,SWA,KIAD
2015-02-11 13:40:00,N309US,1519,DAL,KPBI
2015-02-11 15:07:00,,,BUS,KMSY
2015-02-12 00:00:00,,,,KSAN
2015-02-12 00:00:00,,,,KRNO
2015-02-12 00:00:00,,,,KORF
2015-02-12 00:00:00,,,,KLBB
2015-02-12 00:00:00,,,,KLAN
2015-02-12 00:00:00,,,,KECG
2015-02-12 00:00:00,,,,KDEN
2015-02-12 00:00:00,,,,KDEN
2015-02-12 00:00:00,,,,KDAB
2015-02-12 00:00:00,,,,KPHL
2015-02-12 00:00:00,,,,KMFE
2015-02-12 07:30:00,,595,AWE,KSMF
2015-02-12 08:30:00,N700UW,1792,AWE,KPHL
2015-02-12 08:40:00,N441ZW,4001,AWI,KPHL
2015-02-12 11:43:00,N12160,4497,ASQ,KIAH
2015-02-12 12:30:00,N652FE,3112,FDX,KAFW
2015-02-12 14:00:00,N413AW,9367,AWI,KPHL
2015-02-12 15:16:00,,469,SWA,KMCO
2015-02-12 15:20:00,,1092,UAL,KEWR
2015-02-12 16:05:00,N988DL,2444,DAL,KMCO
2015-02-12 17:59:00,N495UA,661,UAL,KMSY
2015-02-12 18:10:00,N14188,4597,ASQ,KEWR
2015-02-12 18:45:00,N534NK,182,NKS,KRSW
2015-02-13 00:00:00,,,,KDFW
2015-02-13 00:00:00,,,,KDFW
